"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 17 23:48:59 GMT 2020","Fri Jul 17 23:49:04 GMT 2020","5211","","Create Todos with BDD","","Create Todos with BDD","Create multiple todos @bdd","Create multiple todos @bdd",""
"passed","Fri Jul 17 23:48:49 GMT 2020","Fri Jul 17 23:48:59 GMT 2020","9781","","Create Todos with BDD","","Create Todos with BDD","Create a single todo item @bdd","Create a single todo item @bdd",""
